,sequence_id,protein_family,filename
0,WP_004255833.1,cNorB,cNorB.faa
1,WP_043108184.1,cNorB,cNorB.faa
2,WP_011311073.1,cNorB,cNorB.faa
3,WP_014238124.1,cNorB,cNorB.faa
4,WP_013029258.1,cNorB,cNorB.faa
5,WP_011766814.1,cNorB,cNorB.faa
6,WP_011235963.1,cNorB,cNorB.faa
7,WP_009206748.1,cNorB,cNorB.faa
8,WP_045472056.1,cNorB,cNorB.faa
9,WP_015831995.1,cNorB,cNorB.faa
10,WP_075148796.1,cNorB,cNorB.faa
11,WP_046009276.1,cNorB,cNorB.faa
12,WP_041068366.1,cNorB,cNorB.faa
13,WP_011288917.1,cNorB,cNorB.faa
14,WP_012179844.1,cNorB,cNorB.faa
15,WP_046859392.1,cNorB,cNorB.faa
16,WP_011711820.1,cNorB,cNorB.faa
17,WP_011786557.1,cNorB,cNorB.faa
18,WP_013651337.1,cNorB,cNorB.faa
19,WP_011041451.1,cNorB,cNorB.faa
20,WP_075281799.1,cNorB,cNorB.faa
21,WP_011914544.1,cNorB,cNorB.faa
22,WP_043218740.1,cNorB,cNorB.faa
23,WP_011398181.1,cNorB,cNorB.faa
24,WP_039001923.1,cNorB,cNorB.faa
25,WP_012346498.1,cNorB,cNorB.faa
26,WP_011221118.1,cNorB,cNorB.faa
27,WP_014426938.1,cNorB,cNorB.faa
28,WP_045583025.1,cNorB,cNorB.faa
29,WP_011241995.1,cNorB,cNorB.faa
30,WP_012250938.1,cNorB,cNorB.faa
31,WP_064581620.1,cNorB,cNorB.faa
32,WP_007089827.1,cNorB,cNorB.faa
33,WP_014339161.1,cNorB,cNorB.faa
34,WP_023786873.1,cNorB,cNorB.faa
35,WP_014705659.1,cNorB,cNorB.faa
36,NP_249215.1,cNorB,cNorB.faa
37,WP_059399802.1,cNorB,cNorB.faa
38,WP_011496419.1,cNorB,cNorB.faa
39,WP_013963008.1,cNorB,cNorB.faa
40,WP_011567809.1,cNorB,cNorB.faa
41,WP_024079950.1,cNorB,cNorB.faa
42,WP_080622690.1,cNorB,cNorB.faa
43,WP_011385321.1,cNorB,cNorB.faa
44,WP_059399743.1,cNorB,cNorB.faa
45,WP_067968764.1,cNorB,cNorB.faa
46,YP_002825529.1,cNorB,cNorB.faa
47,WP_067965002.1,cNorB,cNorB.faa
48,WP_014872431.1,cNorB,cNorB.faa
49,WP_011748763.1,cNorB,cNorB.faa
50,NP_435940.1,cNorB,cNorB.faa
51,WP_013214620.1,cNorB,cNorB.faa
52,WP_034790597.1,cNorB,cNorB.faa
53,YP_001314819.1,cNorB,cNorB.faa
54,WP_007877571.1,cNorB,cNorB.faa
55,WP_012093666.1,cNorB,cNorB.faa
56,WP_004681527.1,cNorB,cNorB.faa
57,WP_042440902.1,cNorB,cNorB.faa
58,WP_058898998.1,cNorB,cNorB.faa
59,WP_038590576.1,cNorB,cNorB.faa
60,NP_769855.1,cNorB,cNorB.faa
61,WP_012590536.1,cNorB,cNorB.faa
62,WP_065727660.1,cNorB,cNorB.faa
63,WP_013165979.1,cNorB,cNorB.faa
64,NP_356267.1,cNorB,cNorB.faa
65,WP_011662072.1,cNorB,cNorB.faa
66,WP_014496595.1,cNorB,cNorB.faa
67,WP_015668834.1,cNorB,cNorB.faa
68,WP_006747570.1,cNorB,cNorB.faa
69,WP_011428819.1,cNorB,cNorB.faa
70,WP_015258448.1,cNorB,cNorB.faa
71,WP_066811773.1,cNorB,cNorB.faa
72,WP_071943080.1,cNorB,cNorB.faa
73,WP_072506788.1,cNorB,cNorB.faa
74,WP_011629854.1,cNorB,cNorB.faa
75,WP_024099147.1,cNorB,cNorB.faa
76,WP_011633638.1,cNorB,cNorB.faa
77,WP_011112530.1,cNorB,cNorB.faa
78,WP_075999181.1,cNorB,cNorB.faa
79,WP_005620809.1,cNorB,cNorB.faa
80,WP_013326220.1,cNorB,cNorB.faa
81,WP_011908011.1,cNorB,cNorB.faa
82,WP_076622772.1,cNorB,cNorB.faa
83,WP_013032582.1,cNorB,cNorB.faa
84,WP_013449860.1,cNorB,cNorB.faa
85,WP_089422502.1,cNorB,cNorB.faa
86,WP_066447641.1,cNorB,cNorB.faa
87,WP_075777015.1,cNorB,cNorB.faa
88,WP_043868673.1,cNorB,cNorB.faa
89,WP_013220289.1,cNorB,cNorB.faa
90,WP_046850206.1,cNorB,cNorB.faa
91,WP_002809427.1,cNorB,cNorB.faa
