,sequence_id,protein_family,filename
0,WP_011748767.1,nirS,nirS.faa
1,NP_249210.1,nirS,nirS.faa
2,WP_014339158.1,nirS,nirS.faa
3,WP_043221900.1,nirS,nirS.faa
4,WP_041771853.1,nirS,nirS.faa
5,WP_013953868.1,nirS,nirS.faa
6,WP_085944417.1,nirS,nirS.faa
7,WP_011517656.1,nirS,nirS.faa
8,WP_041100219.1,nirS,nirS.faa
9,WP_011310590.1,nirS,nirS.faa
10,WP_014422487.1,nirS,nirS.faa
11,WP_085938646.1,nirS,nirS.faa
12,WP_071946734.1,nirS,nirS.faa
13,WP_046857961.1,nirS,nirS.faa
14,WP_013651333.1,nirS,nirS.faa
15,WP_013029265.1,nirS,nirS.faa
16,WP_045480144.1,nirS,nirS.faa
17,WP_014237143.1,nirS,nirS.faa
18,WP_011386514.1,nirS,nirS.faa
19,WP_009205117.1,nirS,nirS.faa
20,WP_031269533.1,nirS,nirS.faa
21,WP_044029534.1,nirS,nirS.faa
22,WP_007089813.1,nirS,nirS.faa
23,WP_012179840.1,nirS,nirS.faa
24,WP_011289048.1,nirS,nirS.faa
25,WP_048708996.1,nirS,nirS.faa
26,WP_011805163.1,nirS,nirS.faa
27,WP_012250943.1,nirS,nirS.faa
28,WP_013518994.1,nirS,nirS.faa
29,WP_083536735.1,nirS,nirS.faa
30,WP_014426879.1,nirS,nirS.faa
31,WP_042340392.1,nirS,nirS.faa
32,WP_075148778.1,nirS,nirS.faa
33,WP_004255893.1,nirS,nirS.faa
34,WP_013963004.1,nirS,nirS.faa
35,WP_044032999.1,nirS,nirS.faa
36,WP_076002121.1,nirS,nirS.faa
37,WP_012346472.1,nirS,nirS.faa
38,WP_009206840.1,nirS,nirS.faa
39,WP_059399790.1,nirS,nirS.faa
40,WP_082990281.1,nirS,nirS.faa
41,WP_015781103.1,nirS,nirS.faa
42,WP_024079644.1,nirS,nirS.faa
43,WP_011289000.1,nirS,nirS.faa
44,WP_011383805.1,nirS,nirS.faa
45,WP_049724801.1,nirS,nirS.faa
46,WP_041099757.1,nirS,nirS.faa
47,WP_015258444.1,nirS,nirS.faa
48,WP_014238329.1,nirS,nirS.faa
