,sequence_id,protein_family,filename
0,WP_012129053.1,NapD,NapD.faa
1,WP_004748082.1,NapD,NapD.faa
2,WP_020332424.1,NapD,NapD.faa
3,WP_012019139.1,NapD,NapD.faa
4,NP_800708.1,NapD,NapD.faa
5,WP_009206841.1,NapD,NapD.faa
6,WP_005373535.1,NapD,NapD.faa
7,WP_006961044.1,NapD,NapD.faa
8,WP_041106990.1,NapD,NapD.faa
9,NP_716480.1,NapD,NapD.faa
10,WP_013868531.1,NapD,NapD.faa
11,WP_011152448.1,NapD,NapD.faa
12,WP_045102681.1,NapD,NapD.faa
13,WP_005592948.1,NapD,NapD.faa
14,WP_014235622.1,NapD,NapD.faa
15,WP_013952464.1,NapD,NapD.faa
16,WP_013982168.1,NapD,NapD.faa
17,WP_012847979.1,NapD,NapD.faa
18,WP_087034667.1,NapD,NapD.faa
19,WP_011217602.1,NapD,NapD.faa
20,WP_041096645.1,NapD,NapD.faa
21,WP_022561558.1,NapD,NapD.faa
22,WP_025797488.1,NapD,NapD.faa
23,WP_013746041.1,NapD,NapD.faa
24,WP_011761089.1,NapD,NapD.faa
25,WP_005309874.1,NapD,NapD.faa
26,WP_044624032.1,NapD,NapD.faa
27,YP_856121.1,NapD,NapD.faa
28,WP_009845453.1,NapD,NapD.faa
29,WP_006384992.1,NapD,NapD.faa
30,YP_205289.1,NapD,NapD.faa
31,WP_004631736.1,NapD,NapD.faa
32,WP_012153890.1,NapD,NapD.faa
33,NP_233065.1,NapD,NapD.faa
34,WP_045110271.1,NapD,NapD.faa
35,WP_072152272.1,NapD,NapD.faa
36,WP_011867001.1,NapD,NapD.faa
37,WP_012550860.1,NapD,NapD.faa
38,WP_085757429.1,NapD,NapD.faa
39,WP_086366532.1,NapD,NapD.faa
40,WP_006086429.1,NapD,NapD.faa
41,WP_054066950.1,NapD,NapD.faa
42,WP_010861963.1,NapD,NapD.faa
43,WP_012144290.1,NapD,NapD.faa
44,WP_055023842.1,NapD,NapD.faa
45,WP_077753118.1,NapD,NapD.faa
46,WP_081667734.1,NapD,NapD.faa
47,WP_037412044.1,NapD,NapD.faa
48,WP_077751747.1,NapD,NapD.faa
49,YP_402539.1,NapD,NapD.faa
50,NP_311123.1,NapD,NapD.faa
51,NP_416711.1,NapD,NapD.faa
52,NP_708103.1,NapD,NapD.faa
53,YP_006778388.1,NapD,NapD.faa
54,WP_011493533.1,NapD,NapD.faa
55,WP_085751352.1,NapD,NapD.faa
56,WP_011518559.1,NapD,NapD.faa
57,WP_006086007.1,NapD,NapD.faa
58,WP_014338487.1,NapD,NapD.faa
59,WP_012142258.1,NapD,NapD.faa
